mol,mseq,S
Fc1cc2c(C(=O)NCCN3CCCC3)cc(-c3ccc(CN4CCOCC4)cc3)nc2cc1,444,-7.2944794
O=C(O)[C@](NC(=O)[C@@](NC(=O)CCCCCCCCCCC)C)CCC(=O)N[C@](C(=O)O)CCC[C@](N)C(=O)N,402,-7.2910013
Clc1cc2c([nH]c3c2CCN2[C@@]3C[C@@]3[C@](C(=O)OC)[C@@](OC)[C@](OC(=O)c4cc(OC)c(OC)c(OC)c4)C[C@@]3C2)cc1,476,-7.2833128
Clc1c(Cl)cccc1N1CCN(CCCCOc2cc3N(COC(=O)CCCCC)C(=O)CCc3cc2)CC1,578,-7.2829456
S(=O)(=O)(NC)Cc1cc2c(CCCN3CCN(c4c(OC)cncn4)CC3)c[nH]c2cc1,536,-7.2774887
O=C(N[C@@]1C(=O)N2[C@@](C(=O)O)C(C)(C)S[C@]12)[C@](NC(=O)CNC(=N)c1ccncc1)c1ccccc1,484,-7.2727733
Clc1c(OCc2cc(F)ccc2)ccc(Nc2c(C#N)cnc3c2cc(NC(=O)/C=C/CN(C)C)c(OCC)c3)c1,592,-7.2689128
O=C(OCC(C)C)OCN1C(=O)CN(CCN2CC(=O)N(COC(=O)OCC(C)C)C(=O)C2)CC1=O,10,-7.2686119
O=C(OCCN1CCN(CCOC(=O)C(CC)c2ccccc2)CC1)C(CC)c1ccccc1,566,-7.2683582
F[C@@]1[C@](O)[C@](O)[C@](C)O[C@]1O[C@@]1c2c(O)c3C(=O)c4c(OC)cccc4C(=O)c3c(O)c2C[C@@](O)(C(=O)COC(=O)CCN)C1,297,-7.2621102
O=C(Oc1cc2c(CC)c3c(nc2cc1)C=1N(C(=O)C2=C([C@@](O)(CC)C(=O)OC2)C=1)C3)N1CCC(CCn2c3c(cc(N4C(c5c(O)cc(O)c(C(C)C)c5)=NNC4=O)cc3)cc2)CC1,250,-7.2572603
O=C(OC(COC(=O)Nc1ccccc1)CN1CCCCC1)Nc1ccccc1,239,-7.2509704
S(=O)(=O)(NC(=O)Nc1c(NC(=S)NP(=O)(OCC)OCC)cccc1)c1ccc(C)cc1,148,-7.2481666
FC=1C(=O)N(C(=O)c2cc(C(=O)Oc3c(C#N)ccc(OC(=O)c4ccccc4)n3)ccc2)C(=O)N(COCC)C=1,522,-7.2454185
O=[N+]([O-])c1cc([C@]2C(C(=O)OCCCN3CCC(c4ccccc4)(c4ccccc4)CC3)=C(C)NC(C)=C2C(=O)OC)ccc1,462,-7.239583
O=C1N(CCCN2CCCCCC2)[C@@](CC(C)C)[C@@](c2ccccc2)O1,207,-7.2394724
Brc1ccc(C2(OC(=O)CCCCCCCCC)CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1,104,-7.2368722
O=C(N(C)C1CCCCC1)CO/N=C(/c1cc2c(N=C3N(CC(=O)N3)C2)cc1)\c1ccccc1,22,-7.236433
O=C(N[C@](C(=O)N[C@](C(=O)N1[C@](C(=O)O)CCC1)CCCCN)CC(=O)O)[C@@](NC(=O)C)CO,311,-7.2281318
O=C(O)[C@](NC(=O)[C@@](NC(=O)CCCCCCCCCCC)C)CCC(=O)N[C@](C(=O)O)CCC[C@](N)C(=O)N,402,-7.2274375
O=C(OCC(C)C)OCN1C(=O)CN(CCN2CC(=O)N(COC(=O)OCC(C)C)C(=O)C2)CC1=O,10,-7.2262983
Fc1cc2c(C(=O)NCCN3CCCC3)cc(-c3ccc(CN4CCOCC4)cc3)nc2cc1,444,-7.226294
O=C(OCCOCC[N+](CC)(CC)C)C([N+]1(C)CCCCC1)c1ccccc1,356,-7.2214775
Clc1nc2nc(N3C(=O)C=4SCCSC=4C3OC(=O)N3CCN(C(=O)CC)CC3)ccc2cc1,214,-7.2207036
O=C(O[C@]1[C@](O)[C@@](O)[C@](O[C@]2[C@](O[C@]3[C@@](NC)[C@](O)[C@@](O)[C@](CO)O3)[C@@](O)(CO)[C@](C)O2)[C@@](NC(=N)N)[C@@]1O)N,629,-7.2130775
S(C(=O)C)C[C@](C(=O)NCC(=O)OCc1ccccc1)Cc1ccccc1,23,-7.2073374
FC(F)(F)c1ccc(-c2ccc(CN(C(=O)CN3C(CCc4c(F)c(F)ccc4)=CC(=O)c4c3nccc4)C3CCN(CCOC)CC3)cc2)cc1,321,-7.2070098
O=C(N(Cc1ccc(-c2c(-c3[nH]nnn3)cccc2)cc1)CC1(C(=O)O)CCCC1)CCCC,158,-7.2010202
O=C(N(C)C1CCCCC1)CO/N=C(/c1cc2c(N=C3N(CC(=O)N3)C2)cc1)\c1ccccc1,22,-7.1993856
FC(F)(F)c1cc2N(CCCN3CCC(C(=O)c4ccc(F)cc4)CC3)c3c(Sc2cc1)cccc3,253,-7.1987739
Clc1c(Cl)cccc1N1CCN(CCCCOc2cc3N(COC(=O)CCCCC)C(=O)CCc3cc2)CC1,578,-7.1946845
Clc1cc2c([nH]c3c2CCN2[C@@]3C[C@@]3[C@](C(=O)OC)[C@@](OC)[C@](OC(=O)c4cc(OC)c(OC)c(OC)c4)C[C@@]3C2)cc1,476,-7.1856513
O=C1N(CCCCN2CCN(c3ncccn3)CC2)C(=O)[C@@]2[C@]1[C@@]1C=C[C@]2[C@@]2[C@]1C=C2,602,-7.1838808
O=C(OCC)CCCn1c(-c2cc3[C@@](OC4=NNC(=O)C=C4)[C@@](O)(C)C(C)(C)Oc3cc2)nnn1,103,-7.1793218
S(=O)(=O)(Nc1c(C)c(C)on1)c1c(-c2c(CN(C(=O)CC(C)(C)C)C)cc(-c3occn3)cc2)cccc1,220,-7.1747699
O=C(OCC)c1c(OCC(O)CNC(C)(C)C)ccc(NC(=O)c2sccc2)c1,375,-7.174057
Clc1c(OCc2cc(F)ccc2)ccc(Nc2c(C#N)cnc3c2cc(NC(=O)/C=C/CN(C)C)c(OCC)c3)c1,592,-7.1663246
Clc1cc(NC(=O)Cc2ccc(S(=O)(=O)Nc3ncc(CC(C)C)cn3)cc2)c(OC)cc1,28,-7.164402
S(=O)(=O)(O)c1c2c(Nc3ccccc3)ccc(/N=N/c3c4c(O)cc(S(=O)(=O)O)cc4cc(S(=O)(=O)O)c3)c2ccc1,232,-7.1643147
O=C(Oc1c2c(N[C@@](C)[C@]3[C@]2C[C@](O)CC3)cc(O[C@@](CCCc2ccccc2)C)c1)C,172,-7.1623373
O=C(Oc1c(OC(=O)c2cnccc2)ccc(Cc2nccc3c2cc(OC)c(OC)c3)c1)c1cnccc1,274,-7.161211
O=C(OCC)CCCn1c(-c2cc3[C@@](OC4=NNC(=O)C=C4)[C@@](O)(C)C(C)(C)Oc3cc2)nnn1,103,-7.1599188
Brc1ccc(O[P@@](=O)(OC[C@@]2O[C@](N3C(=O)N=C(N)C=C3)CO2)N[C@](C(=O)O[C@](CCC)C)C)cc1,132,-7.1599035
ClC(Cl)C(=O)N(CCOCC)Cc1ccc(CN(C(=O)C(Cl)Cl)CCOCC)cc1,136,-7.1591153
S(=O)(=O)(O)c1c2c(Nc3ccccc3)ccc(/N=N/c3c4c(O)cc(S(=O)(=O)O)cc4cc(S(=O)(=O)O)c3)c2ccc1,232,-7.1570015
O(CCO[C@]1[C@](OC)C[C@](C[C@@](C)[C@]2OC(=O)[C@]3N(C(=O)C(=O)[C@@]4(O)[C@](C)CC[C@](O4)C[C@](OC)/C(/C)=C/C=C/C=C/[C@@](C)C[C@@](C)C(=O)[C@](OC)[C@](O)/C(/C)=C/[C@@](C)C(=O)C2)CCCC3)CC1)CC,139,-7.1529989
O=C(N[C@@]1C(=O)N2[C@@](C(=O)O)C(C)(C)S[C@]12)C(Oc1ccccc1)c1ccccc1,487,-7.1515231
S(c1nc(N)nc2n(CCOCP(=O)(OCC(F)(F)F)OCC(F)(F)F)cnc12)c1ccc(OC)cc1,306,-7.1513243
S(=O)(=O)(NC)Cc1cc2c(CCCN3CCN(c4c(OC)cncn4)CC3)c[nH]c2cc1,536,-7.1467619
O=C(N[C@](C(=O)N[C@](C(=O)N1[C@](C(=O)O)CCC1)CCCCN)CC(=O)O)[C@@](NC(=O)C)CO,311,-7.1409307
Brc1ccc(O[P@@](=O)(OC[C@@]2O[C@](N3C(=O)N=C(N)C=C3)CO2)N[C@](C(=O)O[C@](CCC)C)C)cc1,132,-7.1393886
S(c1nc(N)nc2n(CCOCP(=O)(OCC(F)(F)F)OCC(F)(F)F)cnc12)c1ccc(OC)cc1,306,-7.1382809
S(=O)(=O)(N[C@](C(=O)N(CC(=O)O)C1CC1)CC(=O)NC[C@]1CN(C(=N)N)CCC1)c1cc2c(cc1)cccc2,163,-7.1365819
O=C(OCC)CCCn1c(-c2cc3[C@@](OC4=NNC(=O)C=C4)[C@@](O)(C)C(C)(C)Oc3cc2)nnn1,103,-7.132493
Clc1c(F)c(Cl)cc([C@@]2(C(F)(F)F)ON=C(c3cc4c(C5(OC4)CN(C(=O)CS(=O)(=O)C)C5)cc3)C2)c1,392,-7.1323094
S(=O)(=O)(NC)Cc1cc2c(CCCN3CCN(c4c(OC)cncn4)CC3)c[nH]c2cc1,536,-7.1302533
Fc1cc2c(C(=O)NCCN3CCCC3)cc(-c3ccc(CN4CCOCC4)cc3)nc2cc1,444,-7.12746
O=C(N(C)C1CCCCC1)CO/N=C(/c1cc2c(N=C3N(CC(=O)N3)C2)cc1)\c1ccccc1,22,-7.126008
O(CCN1CCOCC1)c1c2C(C)=CC(=O)Oc2cc(OCCN2CCOCC2)c1,587,-7.1177793
O(CC)c1c(OCC)cc(-c2nccc3c2cc(OC)c(OC)c3)cc1OCC,388,-7.1150293
S(=O)(=O)(Nc1c(C)c(C)on1)c1c(-c2c(CN(C(=O)CC(C)(C)C)C)cc(-c3occn3)cc2)cccc1,220,-7.1142015
Fc1ccc(-n2c3c(c(CCCCN4CCC5(OCc6c5cccc6)CC4)c2)cccc3)cc1,620,-7.1126518
S(=O)(=O)(O)C(Nc1ccc(S(=O)(=O)c2ccc(NC(S(=O)(=O)O)[C@](O)[C@@](O)[C@](O)[C@](O)CO)cc2)cc1)[C@](O)[C@@](O)[C@](O)[C@](O)CO,418,-7.1119065
O=C(OCC)[C@@](N[C@](C(=O)N1[C@](C(=O)O)SC(C(C)(C)C)=N1)C)CCc1ccccc1,489,-7.1117015
O(C)c1c(OC)ccc(Cc2ncc(CN3CCN(c4c(OC)cccc4)CC3)c3c2cc(OC)c(OC)c3)c1,57,-7.1108255
S(=O)(=O)(N[C@](C(=O)N(CC(=O)O)C1CC1)CC(=O)NC[C@]1CN(C(=N)N)CCC1)c1cc2c(cc1)cccc2,163,-7.1091194
O=C(OCC(C)C)OCN1C(=O)CN(CCN2CC(=O)N(COC(=O)OCC(C)C)C(=O)C2)CC1=O,10,-7.1053185
S(=O)(=O)(N1CCN(C(=O)c2ccc(Nc3c4c(ncc3)cc(C(F)(F)F)cc4)cc2)CC1)c1ccc(F)cc1,243,-7.1026592
O=C(N[C@](C(=O)N[C@](C(=O)N1[C@](C(=O)O)CCC1)CCCCN)CC(=O)O)[C@@](NC(=O)C)CO,311,-7.095962
Clc1c(S(=O)(=O)C)ccc([C@](C(=O)Nc2nccnc2)C[C@@]2CC(=O)CC2)c1,626,-7.0953584
S(C(=O)[C@](NC(=O)C1CCCCC1)C)C[C@](C(=O)N1[C@](C(=O)O)CCC1)C,630,-7.0914564
O=C(N1[C@@](C(=O)O)(Cn2nccc2)C[C@](COC)[C@@]1c1sccn1)c1cc(OC)c(C(C)(C)C)cc1,115,-7.0911322
O(CCCCC)c1c(OCC)cc(C2C(=O)NC(=O)S2)cc1,304,-7.0846601
O=C(OCC)Oc1c(OC)cc(C(=O)O[C@]2[C@](OC)[C@@](C(=O)OC)[C@@]3[C@](C2)CN2[C@@](c4[nH]c5c(c4CC2)ccc(OC)c5)C3)cc1OC,226,-7.084641
Clc1cc(OCC(O)CNC(CNc2ccc(C=3C(C)CC(=O)NN=3)cc2)(C)C)c(C#N)cc1,427,-7.0845065
O=C(N[C@](C(=O)N[C@](C(=O)N1[C@](C(=O)O)CCC1)CCCCN)CC(=O)O)[C@@](NC(=O)C)CO,311,-7.0816255
O=C(Oc1c2c(N[C@@](C)[C@]3[C@]2C[C@](O)CC3)cc(O[C@@](CCCc2ccccc2)C)c1)C,172,-7.0806007
O=C(N[C@@]1C(=O)N2[C@@](C(=O)O)C(C)(C)S[C@]12)C(Oc1ccccc1)c1ccccc1,487,-7.0800009
Clc1ccc(C(C(NC(=O)/C=C\C(=O)O)C)Cc2ccc(Cl)cc2)cc1,434,-7.0766678
O=C(c1cc(C)c(OCCCN(CCCC)CCCC)c(C)c1)C=1Oc2c(C(=O)C=1)cccc2,116,-7.076129
O=C(OCC(O)COC(=O)CCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCC,45,-7.0757666
O=C(OCC(C)C)OCN1C(=O)CN(CCN2CC(=O)N(COC(=O)OCC(C)C)C(=O)C2)CC1=O,10,-7.0723834
O(CCCCN1CCN(CCc2cc(OC)c(OC)c(OC)c2)CC1)c1c([C@]2(C(C)C)C(=O)N(C)c3c(S2)cccc3)cccc1,505,-7.0697007
Brc1ccc(C2(OC(=O)CCCCCCCCC)CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1,104,-7.0677614
O=C(O[C@]1[C@](OC)[C@@](C(=O)OC)[C@@]2[C@](C1)CN1[C@@](c3[nH]c4c(c3CC1)ccc(OC)c4)C2)/C=C/c1cc(OC)c(O)cc1,428,-7.0668755
F[C@@]1[C@](O)[C@](O)[C@](C)O[C@]1O[C@@]1c2c(O)c3C(=O)c4c(OC)cccc4C(=O)c3c(O)c2C[C@@](O)(C(=O)COC(=O)CCN)C1,297,-7.0623012
SP(=O)(OC[C@@]1[C@@](O)C[C@](n2c3ncnc(N)c3nc2)O1)O[C@]1[C@@](OC)[C@](N2C(=O)NC(=O)C=C2)O[C@@]1CO,495,-7.0612063
O=C(N(CC)CC)COc1c2c3c(O)c(C)c4O[C@@](C)(C(=O)c24)O/C=C/[C@](OC)[C@@](C)[C@@](OC(=O)C)[C@](C)[C@](O)[C@](C)[C@@](O)[C@@](C)/C=C/C=C(/C)\C(=O)Nc(c3O)c1,230,-7.0593081
Clc1ccc(C(C(NC(=O)/C=C\C(=O)O)C)Cc2ccc(Cl)cc2)cc1,434,-7.0584531
O=C(N[C@@]1C(=O)N2C(C(=O)[O-])=C(C[n+]3n(CCO)c(N)cc3)CS[C@]12)/C(=N\OC)/c1nc(N)sc1,222,-7.057425
Brc1c(c(C(=O)c2cc(Cl)c(OCCCN(CCCC)CCCC)cc2)n2c1C=CC=C2)-c1ccccc1,461,-7.0554199
O=C(Nc1c(N2C[C@](O)CC2)nc2nc(N3CCOCC3)oc2c1)c1nc(-c2cc(C)ncc2)oc1,634,-7.0521731
O=C(OCC(C)C)OCN1C(=O)CN(CCN2CC(=O)N(COC(=O)OCC(C)C)C(=O)C2)CC1=O,10,-7.0520935
S(=O)(=O)(O)C(Nc1ccc(S(=O)(=O)c2ccc(NC(S(=O)(=O)O)[C@](O)[C@@](O)[C@](O)[C@](O)CO)cc2)cc1)[C@](O)[C@@](O)[C@](O)[C@](O)CO,418,-7.0508304
O=C(N(C(C)C)C(C)C)c1ccc(C2=N[C@]3[C@@](c4c2cc(OC)c(OCC)c4)CN(C)CC3)cc1,245,-7.0490522
O(C)c1ccc(C2(c3ccccc3)C(=O)N(CCCN3CCC(c4ccccc4)CC3)C(=O)N2)cc1,107,-7.0439329
Brc1c(c(C(=O)c2cc(Cl)c(OCCCN(CCCC)CCCC)cc2)n2c1C=CC=C2)-c1ccccc1,461,-7.0401597
O=C(O)[C@@]1[C@@](O)[C@](O)[C@@](O)[C@](O[C@@]2[C@@]3Oc4c(O)ccc5c4[C@@]43[C@@](C=C2)[C@](N(C)CC4)C5)O1,416,-7.0364218
O=C(OCC(O)COC(=O)CCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCC,45,-7.035778
O=C(NC1=NC(=O)N([C@]2[C@@](O)[C@](O)[C@@](CO)O2)C=C1)CCCCCCCCCCCCCCCCCCCCC,285,-7.0353699
O=C(Nc1c(N2C[C@](O)CC2)nc2nc(N3CCOCC3)oc2c1)c1nc(-c2cc(C)ncc2)oc1,634,-7.0285854
O=C(O[C@]1[C@](O)[C@@](O)[C@](O[C@]2[C@](O[C@]3[C@@](NC)[C@](O)[C@@](O)[C@](CO)O3)[C@@](O)(CO)[C@](C)O2)[C@@](NC(=N)N)[C@@]1O)N,629,-7.0280876
S(=O)(=O)(NC(=O)Nc1c(NC(=S)NP(=O)(OCC)OCC)cccc1)c1ccc(C)cc1,148,-7.0276637
O=C(O[C@]1[C@@](OC)[C@]([C@]2(C)[C@@](C/C=C(\C)/C)O2)[C@]2(OC2)CC1)/C=C/C=C/C=C/C=C/C(=O)O,270,-7.0269046
Clc1c(N)cc(OCCCC)c(C(=O)NC2CCN(CC3OCCO3)CC2)c1,221,-7.0264664
O=C1C(c2ccccc2)(C2CCN(C/C=C/c3ccccc3)CC2)CCC(=O)N1,553,-7.0241828
O=C(N[C@@]1C(=O)N2C(C(=O)[O-])=C(C[n+]3n(CCO)c(N)cc3)CS[C@]12)/C(=N\OC)/c1nc(N)sc1,222,-7.0216241
O=C(OCC)Oc1c(OC)cc(C(=O)O[C@]2[C@](OC)[C@@](C(=O)OC)[C@@]3[C@](C2)CN2[C@@](c4[nH]c5c(c4CC2)ccc(OC)c5)C3)cc1OC,226,-7.0185213
O=C(c1c(CC)cc2n1C=CC=C2)c1ccc(OCCCN(CCCC)CCCC)cc1,415,-7.0173345
S(CC1=C(C(=O)O)N2C(=O)[C@@](NC(=O)/C(=N\OC)/c3nc(N)sc3)[C@]2SC1)c1snnc1,246,-7.0103583
O=C(O[C@]1[C@](O)[C@@](O)[C@](O[C@]2[C@](O[C@]3[C@@](NC)[C@](O)[C@@](O)[C@](CO)O3)[C@@](O)(CO)[C@](C)O2)[C@@](NC(=N)N)[C@@]1O)N,629,-7.0074272
FC(F)(F)c1ccc(-c2ccc(CN(C(=O)CN3C(CCc4c(F)c(F)ccc4)=CC(=O)c4c3nccc4)C3CCN(CCOC)CC3)cc2)cc1,321,-7.0065084
P(=O)(Oc1c(OC)cc([C@@]2c3c([C@@](O[C@]4[C@](OC(=O)COc5c(F)c(F)c(F)c(F)c5F)[C@@](OC(=O)COc5c(F)c(F)c(F)c(F)c5F)[C@@]5O[C@](C)OC[C@]5O4)[C@@]4[C@@]2C(=O)OC4)cc2OCOc2c3)cc1OC)(O)O,160,-7.0027065
O=C(N(C)C1CCCCC1)CO/N=C(/c1cc2c(N=C3N(CC(=O)N3)C2)cc1)\c1ccccc1,22,-6.9989915
ClCCN1C(=O)[C@]2([C@](OC(=O)C)[C@@]3(CC)[C@@]4N(CC=C3)CC[C@]34c4c(N(C)[C@@]23)cc(OC)c([C@]2(C(=O)OC)c3[nH]c5c(c3CCN3C[C@](O)(CC)C[C@@](C2)C3)cccc5)c4)OC1=O,348,-6.9987092
O=C(c1c(CC)cc2n1C=CC=C2)c1ccc(OCCCN(CCCC)CCCC)cc1,415,-6.9959059
O=C(O[C@]1[C@](OC)[C@@](C(=O)OC)[C@@]2[C@](C1)CN1[C@@](c3[nH]c4c(c3CC1)ccc(OC)c4)C2)/C=C/c1cc(OC)c(O)cc1,428,-6.9957271
O=C(O)CCc1c(OCC)nn(Cc2ccc(OCc3nc(-c4ccccc4)sc3)cc2)c1,457,-6.9955263
SP(=O)(OC[C@@]1[C@@](O)C[C@](n2c3ncnc(N)c3nc2)O1)O[C@]1[C@@](OC)[C@](N2C(=O)NC(=O)C=C2)O[C@@]1CO,495,-6.9937997
Clc1ccc(C(=O)n2c(C)c(CC(=O)OC3OC(=O)c4c3cccc4)c3c2ccc(OC)c3)cc1,60,-6.9936075
Clc1nc2nc(N3C(=O)C=4SCCSC=4C3OC(=O)N3CCN(C(=O)CC)CC3)ccc2cc1,214,-6.989645
O=C(Nc1c(N2C[C@](O)CC2)nc2nc(N3CCOCC3)oc2c1)c1nc(-c2cc(C)ncc2)oc1,634,-6.9878654
Clc1cc(NC(=O)Cc2ccc(S(=O)(=O)Nc3ncc(CC(C)C)cn3)cc2)c(OC)cc1,28,-6.9878592
O=C(NC1=NC(=O)N([C@]2[C@@](O)[C@](O)[C@@](CO)O2)C=C1)CCCCCCCCCCCCCCCCCCCCC,285,-6.9839849
O=C(NC(C(=O)c1oc(C(C)(C)C)nn1)C(C)C)CN1C(=O)C(N)=CN=C1c1ccccc1,456,-6.9831662
O(C(C#C)(C)c1ccccc1)CC(COCC(C)C)N1CCCC1,359,-6.9820037
O(CC)c1c(OCC)cc(-c2nccc3c2cc(OC)c(OC)c3)cc1OCC,388,-6.9817338
[N+](CCCCCCCCCC)(CCCCCCCCCC)(C)C,567,-6.9798517
O=C(Oc1cc2c(CC)c3c(nc2cc1)C=1N(C(=O)C2=C([C@@](O)(CC)C(=O)OC2)C=1)C3)N1CCC(CCn2c3c(cc(N4C(c5c(O)cc(O)c(C(C)C)c5)=NNC4=O)cc3)cc2)CC1,250,-6.9795818
O=C(Oc1cc2c(CC)c3c(nc2cc1)C=1N(C(=O)C2=C([C@@](O)(CC)C(=O)OC2)C=1)C3)N1CCC(CCn2c3c(cc(N4C(c5c(O)cc(O)c(C(C)C)c5)=NNC4=O)cc3)cc2)CC1,250,-6.9770899
O=C(OC1CC[N+](CC)(C)CC1)C(N1CCCCCC1)c1noc2c1cccc2,659,-6.9748564
Clc1c(Cl)cccc1C1C(C(=O)OCC)=C(COCCOCCN)NC(C)=C1C(=O)OC,639,-6.9732804
O=C(NC1=NC(=O)N([C@]2[C@@](O)[C@](O)[C@@](CO)O2)C=C1)CCCCCCCCCCCCCCCCCCCCC,285,-6.9682851
P(=O)(Oc1c(OC)cc([C@@]2c3c([C@@](O[C@]4[C@](OC(=O)COc5c(F)c(F)c(F)c(F)c5F)[C@@](OC(=O)COc5c(F)c(F)c(F)c(F)c5F)[C@@]5O[C@](C)OC[C@]5O4)[C@@]4[C@@]2C(=O)OC4)cc2OCOc2c3)cc1OC)(O)O,160,-6.9680386
S(CC[C@](N(C(=O)[C@@](NC(=O)CNC(=O)[C@](NC(=O)[C@@](N)Cc1ccc(O)cc1)C)Cc1ccccc1)C)C(=O)N)C,273,-6.9679751
O=C(O[C@]1[C@](OC)[C@@](C(=O)OC)[C@@]2[C@](C1)CN1[C@@](c3[nH]c4c(c3CC1)ccc(OC)c4)C2)/C=C/c1cc(OC)c(O)cc1,428,-6.9670839
S(=O)(=O)(NC)Cc1cc2c(CCCN3CCN(c4c(OC)cncn4)CC3)c[nH]c2cc1,536,-6.9656029
S(=O)(=O)(O)c1cc(C(=O)OCC(=O)[C@]2(O)[C@]3(C)[C@]([C@@]4C=C(C)C=5[C@@](C)([C@]4[C@@](O)C3)Cc3c(n(-c4ccccc4)nc3)C=5)C[C@]2C)ccc1,373,-6.9646459
O(CC)c1c(OCC)cc(-c2nccc3c2cc(OC)c(OC)c3)cc1OCC,388,-6.9629083
O=C(OCC)[C@@](N[C@](C(=O)N1[C@](C(=O)O)SC(C(C)(C)C)=N1)C)CCc1ccccc1,489,-6.9628062
ClCCN1C(=O)[C@]2([C@](OC(=O)C)[C@@]3(CC)[C@@]4N(CC=C3)CC[C@]34c4c(N(C)[C@@]23)cc(OC)c([C@]2(C(=O)OC)c3[nH]c5c(c3CCN3C[C@](O)(CC)C[C@@](C2)C3)cccc5)c4)OC1=O,348,-6.9609861
O=C1N(C2CCN(CC3(C)OCc4c(-n5c3ccc5)cccc4)CC2)c2c(N1)cccc2,135,-6.9603415
O=C(Oc1c(OC(=O)c2cnccc2)ccc(Cc2nccc3c2cc(OC)c(OC)c3)c1)c1cnccc1,274,-6.9563513
O=C(N(C(C)C)C(C)C)c1ccc(C2=N[C@]3[C@@](c4c2cc(OC)c(OCC)c4)CN(C)CC3)cc1,245,-6.9556499
Clc1c(Cl)cccc1N1CCN(CCCCOc2cc3N(COC(=O)CCCCC)C(=O)CCc3cc2)CC1,578,-6.9548402
Ic1c(N(C(=O)C)CCO)c(I)c(C(=O)NC)c(I)c1NC(=O)[C@](O)[C@@](O)[C@](O)[C@](O)CO,99,-6.9533668
O(C)c1c(OC)ccc(Cc2ncc(CN3CCN(c4c(OC)cccc4)CC3)c3c2cc(OC)c(OC)c3)c1,57,-6.9522572
Clc1c(-c2c(C(=O)N[C@@]3C(=O)N4C(C(=O)O)=C(COC(=O)C)CS[C@]34)c(C)on2)cccc1,568,-6.952045
Fc1c(N(CC(=O)O)C)c(F)c(Oc2cc(C=3N(C)CCN=3)ccc2)nc1Oc1c(O)ccc(C(=N)N)c1,147,-6.9510298
O=C(OCCN1CCN(CCOC(=O)C(CC)c2ccccc2)CC1)C(CC)c1ccccc1,566,-6.9485278
O=C(N[C@@]1C(=O)N2[C@@](C(=O)O)C(C)(C)S[C@]12)[C@](NC(=O)CNC(=N)c1ccncc1)c1ccccc1,484,-6.9478316
FC=1C(=O)N(C(=O)c2cc(C(=O)Oc3c(C#N)ccc(OC(=O)c4ccccc4)n3)ccc2)C(=O)N(COCC)C=1,522,-6.9469862
S(=O)(=O)(O)c1c2c(Nc3ccccc3)ccc(/N=N/c3c4c(O)cc(S(=O)(=O)O)cc4cc(S(=O)(=O)O)c3)c2ccc1,232,-6.9464355
P(=O)(Oc1c(C/C=C(/CCC[C@@](CCC[C@@](CCCC(C)C)C)C)\C)c(C)c(OP(=O)(O)O)c2c1cccc2)(O)O,211,-6.9456644
S(=O)(=O)(O)c1cc(C(=O)OCC(=O)[C@]2(O)[C@]3(C)[C@]([C@@]4C=C(C)C=5[C@@](C)([C@]4[C@@](O)C3)Cc3c(n(-c4ccccc4)nc3)C=5)C[C@]2C)ccc1,373,-6.9436126
O=C(N[C@@]1C(=O)N2[C@@](C(=O)O)C(C)(C)S[C@]12)[C@](NC(=O)CNC(=N)c1ccncc1)c1ccccc1,484,-6.9430728
FC(F)(F)c1cc(OC[C@](O)/C=C/[C@@]2[C@@](C/C=C\C/C=C/C(=O)OC)[C@@](O)C[C@]2O)ccc1,526,-6.9426308
Clc1cc(OCC(O)CNC(CNc2ccc(C=3C(C)CC(=O)NN=3)cc2)(C)C)c(C#N)cc1,427,-6.9423394
S(C(=O)C)C[C@](C(=O)NCC(=O)OCc1ccccc1)Cc1ccccc1,23,-6.9397349
O=C(c1c(CC)cc2n1C=CC=C2)c1ccc(OCCCN(CCCC)CCCC)cc1,415,-6.9370666
[N+](CCCCCCCCCC)(CCCCCCCCCC)(C)C,567,-6.9369106
O=C(c1cc(C)c(OCCCN(CCCC)CCCC)c(C)c1)C=1Oc2c(C(=O)C=1)cccc2,116,-6.9366636
Brc1ccc(C2(OC(=O)CCCCCCCCC)CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1,104,-6.9351101
O=C(Oc1c2c(OC(C)(C)C3=C2CC(C)CC3)cc(C(C(CCCCC)C)C)c1)CCCN1CCCCCC1,380,-6.9344625
O=C(N[C@@]1C(=O)N2C(C(=O)[O-])=C(C[n+]3c4c(ccc3)CCCC4)CS[C@]12)/C(=N\OC)/c1nc(N)sc1,559,-6.9324803
Clc1ccc(OC(C(SCCC(NC(=O)C)C(=O)O)=O)(C)C)cc1,34,-6.9276972
O(C)c1ccc(C2(c3ccccc3)C(=O)N(CCCN3CCC(c4ccccc4)CC3)C(=O)N2)cc1,107,-6.9264655
O=C(OCCN1CCN(CCOC(=O)C(CC)c2ccccc2)CC1)C(CC)c1ccccc1,566,-6.925703
O(C)c1c(OC)ccc(Cc2ncc(CN3CCN(c4c(OC)cccc4)CC3)c3c2cc(OC)c(OC)c3)c1,57,-6.9251337
Clc1c(OCc2cc(F)ccc2)ccc(Nc2c(C#N)cnc3c2cc(NC(=O)/C=C/CN(C)C)c(OCC)c3)c1,592,-6.918231
